EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3490467,Fog,Severe,5/2/22 14:53,5/2/22 15:06,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490468,Snow,Light,5/2/22 15:06,5/2/22 15:33,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490469,Rain,Light,5/2/22 15:33,5/2/22 16:17,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490470,Fog,Severe,5/3/22 8:34,5/3/22 10:10,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490471,Rain,Light,5/4/22 6:53,5/4/22 7:40,0.02,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490472,Fog,Severe,5/4/22 12:37,5/4/22 14:50,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490473,Rain,Light,5/4/22 17:45,5/4/22 19:34,0.05,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490474,Rain,Light,5/5/22 6:53,5/5/22 7:53,0.05,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490475,Storm,Severe,5/8/22 1:09,5/8/22 1:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490476,Fog,Moderate,5/20/22 2:37,5/20/22 2:44,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490477,Snow,Light,5/20/22 11:13,5/20/22 11:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490478,Rain,Light,5/20/22 12:12,5/20/22 12:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490479,Rain,Light,5/20/22 14:53,5/20/22 16:24,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490480,Snow,Moderate,5/20/22 19:49,5/20/22 19:57,0.06,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490481,Snow,Light,5/20/22 19:57,5/20/22 20:53,0.01,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490482,Snow,Moderate,5/20/22 20:53,5/20/22 21:17,0.05,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490483,Snow,Light,5/20/22 21:17,5/20/22 23:42,0.11,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490484,Snow,Moderate,5/20/22 23:42,5/21/22 1:14,0.11,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490485,Snow,Light,5/21/22 1:14,5/21/22 1:53,0.01,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490486,Snow,Moderate,5/21/22 1:53,5/21/22 3:04,0.08,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490487,Snow,Light,5/21/22 3:04,5/21/22 3:53,0.03,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490488,Snow,Moderate,5/21/22 3:53,5/21/22 4:03,0.03,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490489,Snow,Light,5/21/22 4:03,5/21/22 4:53,0.03,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490490,Snow,Moderate,5/21/22 4:53,5/21/22 5:53,0.12,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490491,Snow,Heavy,5/21/22 5:53,5/21/22 6:13,0.08,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490492,Snow,Light,5/21/22 6:13,5/21/22 6:35,0.02,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490493,Snow,Moderate,5/21/22 6:35,5/21/22 8:10,0.1,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490494,Snow,Light,5/21/22 8:10,5/21/22 11:22,0.2,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490495,Snow,Light,5/21/22 11:43,5/21/22 12:53,0.02,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490496,Fog,Severe,5/24/22 11:12,5/24/22 12:11,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490497,Fog,Severe,5/24/22 12:40,5/24/22 14:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490498,Rain,Light,5/29/22 21:18,5/29/22 21:38,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490499,Rain,Light,5/29/22 22:53,5/29/22 23:05,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490500,Rain,Light,5/29/22 23:53,5/30/22 0:35,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490501,Rain,Light,5/30/22 3:53,5/30/22 4:53,0.02,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490502,Rain,Light,5/30/22 8:53,5/30/22 9:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490503,Rain,Light,5/31/22 22:53,6/1/22 2:53,0.37,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490504,Rain,Moderate,6/1/22 2:53,6/1/22 3:24,0.11,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490505,Rain,Light,6/1/22 3:24,6/1/22 3:53,0.08,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
